1685577600000,1873.63000000,1889.20000000,1840.00000000,1861.78000000,270496.60970000,1685663999999,504448237.27338000,422899,132786.93240000,247622735.20923100,0
1685664000000,1861.78000000,1910.00000000,1847.51000000,1906.68000000,313004.06580000,1685750399999,591169483.09944700,456788,157874.04030000,298230534.99306600,0
1685750400000,1906.69000000,1907.92000000,1881.60000000,1892.06000000,148818.24270000,1685836799999,282550389.94668800,292512,71248.10150000,135269927.94934600,0
1685836800000,1892.05000000,1914.63000000,1884.22000000,1890.01000000,172683.01190000,1685923199999,328166899.06235400,289973,85783.12010000,163026354.23802600,0
1685923200000,1890.00000000,1890.63000000,1778.00000000,1810.50000000,555361.26830000,1686009599999,1017689609.36225600,688879,253634.64500000,464638835.75944900,0
1686009600000,1810.49000000,1898.29000000,1797.18000000,1884.64000000,491407.21740000,1686095999999,907660359.42596600,616201,254098.02440000,469823908.55393200,0
1686096000000,1884.65000000,1897.80000000,1821.18000000,1832.13000000,429196.70640000,1686182399999,796856688.86671300,594071,201074.79930000,373411267.73444600,0
1686182400000,1832.12000000,1861.28000000,1828.31000000,1845.64000000,189270.48530000,1686268799999,349160385.10498000,347990,89218.13060000,164597259.31850700,0
1686268800000,1845.65000000,1855.00000000,1827.00000000,1840.37000000,198324.32520000,1686355199999,365037779.74288700,354623,92841.28830000,170881394.31631400,0
1686355200000,1840.37000000,1844.99000000,1715.03000000,1751.53000000,652324.66950000,1686441599999,1148312156.52559600,877410,298962.65330000,525884490.13860500,0
1686441600000,1751.52000000,1778.25000000,1738.72000000,1752.76000000,219956.24340000,1686527999999,385656545.95023800,378921,104970.10390000,184058191.29345500,0
1686528000000,1752.77000000,1759.33000000,1720.00000000,1742.57000000,302132.48190000,1686614399999,525467514.61960900,467392,154579.04660000,268848228.17760000,0
1686614400000,1742.57000000,1770.13000000,1724.22000000,1740.12000000,284268.00180000,1686700799999,495907901.66849300,498880,147060.37350000,256562479.93400000,0
1686700800000,1740.12000000,1750.03000000,1630.43000000,1650.95000000,415847.32700000,1686787199999,705586390.23398100,572996,198035.00600000,335772562.74237700,0
1686787200000,1650.95000000,1680.91000000,1626.01000000,1666.96000000,370774.76960000,1686873599999,611499814.54217600,458568,192425.51560000,317419943.08694800,0
1686873600000,1666.96000000,1729.50000000,1649.86000000,1717.92000000,311734.59040000,1686959999999,525393264.96220100,408176,158600.07400000,267168521.19164600,0
1686960000000,1717.91000000,1770.00000000,1714.26000000,1727.76000000,210914.92160000,1687046399999,366944179.32063700,359758,107260.84850000,186631806.83369700,0
1687046400000,1727.75000000,1747.84000000,1712.00000000,1720.95000000,156535.01280000,1687132799999,270948973.41748400,273858,79223.60390000,137159225.73341200,0
1687132800000,1720.95000000,1752.19000000,1698.00000000,1737.11000000,245162.75890000,1687219199999,422827205.77548900,366143,120432.59420000,207735564.79235500,0
1687219200000,1737.10000000,1796.99000000,1714.72000000,1791.99000000,328855.68460000,1687305599999,577529266.78921700,459724,168345.97910000,295848851.47750900,0
1687305600000,1791.99000000,1901.00000000,1787.38000000,1889.11000000,613755.88690000,1687391999999,1132377905.48890200,699689,301882.53500000,557089886.05291200,0
1687392000000,1889.10000000,1933.17000000,1865.98000000,1872.01000000,416714.57190000,1687478399999,791056016.14617600,536410,196874.68600000,373931527.58078600,0
1687478400000,1872.00000000,1936.42000000,1861.01000000,1892.63000000,401147.93240000,1687564799999,760352485.33668100,531784,196520.65020000,372600003.36950400,0
1687564800000,1892.63000000,1906.00000000,1864.77000000,1874.96000000,226910.29410000,1687651199999,427721477.76198000,356654,108047.87640000,203668990.45857100,0
1687651200000,1874.95000000,1930.00000000,1868.83000000,1898.80000000,338757.61580000,1687737599999,644415530.04061600,482753,170334.26420000,323870595.29258300,0
1687737600000,1898.80000000,1909.10000000,1837.18000000,1858.97000000,458743.86100000,1687823999999,859537162.35561400,518009,221834.27490000,415653994.57101500,0
1687824000000,1858.97000000,1912.53000000,1855.19000000,1889.58000000,366634.57070000,1687910399999,690855987.04133200,437184,195382.36640000,368354695.94773100,0
1687910400000,1889.58000000,1890.19000000,1816.56000000,1828.02000000,337836.57920000,1687996799999,626358502.58848000,437585,160645.26760000,297804857.12545500,0
1687996800000,1828.03000000,1880.00000000,1827.84000000,1851.99000000,241844.82810000,1688083199999,448678322.17682200,350823,123194.61910000,228587452.24364900,0
1688083200000,1851.99000000,1948.60000000,1825.01000000,1933.79000000,716538.10350000,1688169599999,1353630452.61544500,824889,345435.65260000,653049175.24502700,0
