1682899200000,1870.08000000,1886.49000000,1806.12000000,1830.73000000,445519.17790000,1682985599999,818821593.69484900,647788,220514.81130000,405281273.92910800,0
1682985600000,1830.73000000,1881.87000000,1822.94000000,1870.08000000,373753.20270000,1683071999999,690907892.11045500,563768,184439.10310000,340877324.21815800,0
1683072000000,1870.09000000,1916.52000000,1842.64000000,1905.12000000,465185.25010000,1683158399999,871222153.95979200,751579,239749.08060000,449104177.86407200,0
1683158400000,1905.12000000,1918.26000000,1866.71000000,1877.07000000,354528.61440000,1683244799999,670584503.65961900,525802,172127.95090000,325526383.58993200,0
1683244800000,1877.07000000,1998.36000000,1875.65000000,1993.30000000,546608.87500000,1683331199999,1061183389.06811200,803612,281818.21880000,546945491.99312300,0
1683331200000,1993.30000000,2019.00000000,1860.00000000,1896.33000000,608106.99150000,1683417599999,1169939393.31277700,868626,309602.22270000,595756528.40079700,0
1683417600000,1896.33000000,1933.33000000,1867.59000000,1870.40000000,413268.83570000,1683503999999,787566158.19845600,625667,198046.18760000,377209171.37210500,0
1683504000000,1870.41000000,1883.97000000,1810.73000000,1847.56000000,625316.61680000,1683590399999,1157603209.76185400,885693,308193.85070000,570302849.74666500,0
1683590400000,1847.55000000,1861.88000000,1830.99000000,1846.52000000,304396.18600000,1683676799999,561440259.79089500,517737,154195.20710000,284409845.64507900,0
1683676800000,1846.53000000,1887.47000000,1790.51000000,1840.84000000,639933.38550000,1683763199999,1182254717.03221500,802140,315762.39530000,583244341.86798100,0
1683763200000,1840.83000000,1842.02000000,1772.68000000,1794.30000000,522096.07250000,1683849599999,944525427.02794200,679625,256341.50350000,463715175.20427200,0
1683849600000,1794.31000000,1818.63000000,1740.00000000,1807.45000000,565539.83090000,1683935999999,1002104362.59441100,696930,272766.58150000,483569848.95791600,0
1683936000000,1807.45000000,1817.03000000,1785.23000000,1795.11000000,212895.43730000,1684022399999,383397322.74478100,342566,107960.56180000,194416969.77728900,0
1684022400000,1795.12000000,1824.00000000,1789.82000000,1799.21000000,218101.09770000,1684108799999,393557662.80186000,348092,112091.49980000,202267370.36955800,0
1684108800000,1799.20000000,1846.70000000,1785.05000000,1816.20000000,388171.92610000,1684195199999,708011632.17470900,503728,200878.52120000,366433193.42835400,0
1684195200000,1816.21000000,1832.64000000,1796.20000000,1824.21000000,311238.67860000,1684281599999,565367254.10677700,466058,145796.26840000,264839999.72631800,0
1684281600000,1824.21000000,1837.50000000,1783.68000000,1822.12000000,352097.99130000,1684367999999,637776970.83385500,524718,174614.82380000,316362266.89123300,0
1684368000000,1822.12000000,1831.92000000,1771.12000000,1800.56000000,293755.31100000,1684454399999,531357170.82715200,480171,142539.40530000,257898809.71807600,0
1684454400000,1800.56000000,1829.54000000,1796.81000000,1812.32000000,243116.46760000,1684540799999,440291732.35087900,390917,125305.64520000,226950073.64205800,0
1684540800000,1812.31000000,1828.87000000,1807.06000000,1819.42000000,127754.43490000,1684627199999,232010582.30662800,272744,67168.56350000,122004402.44592800,0
1684627200000,1819.42000000,1828.98000000,1797.21000000,1804.91000000,161517.80530000,1684713599999,292535613.87812400,308391,76815.25180000,139145313.56843900,0
1684713600000,1804.91000000,1828.27000000,1792.01000000,1817.35000000,237498.94230000,1684799999999,430673377.91665300,411867,123914.68840000,224774189.86708500,0
1684800000000,1817.36000000,1872.50000000,1815.24000000,1854.05000000,396869.60970000,1684886399999,734581474.72246600,548587,222549.77690000,411731244.57850600,0
1684886400000,1854.06000000,1854.09000000,1777.60000000,1799.89000000,420846.14450000,1684972799999,761360360.59788700,554307,193455.11130000,349797434.17615900,0
1684972800000,1799.89000000,1818.81000000,1761.41000000,1805.60000000,350633.00890000,1685059199999,628769352.44257100,482899,164410.16270000,294794104.35496200,0
1685059200000,1805.61000000,1838.20000000,1796.99000000,1827.79000000,275690.68540000,1685145599999,501773973.87993700,375854,140633.10750000,255923842.59407100,0
1685145600000,1827.80000000,1836.12000000,1812.18000000,1829.89000000,138824.94060000,1685231999999,253710138.25056300,276383,69580.64790000,127156321.87459000,0
1685232000000,1829.89000000,1918.65000000,1823.60000000,1908.64000000,378392.43710000,1685318399999,705699886.22948800,549727,194805.86070000,363152161.53674800,0
1685318400000,1908.64000000,1927.62000000,1873.65000000,1892.60000000,313593.49420000,1685404799999,596236148.90988500,445895,158390.34480000,301175186.43959400,0
1685404800000,1892.60000000,1917.00000000,1881.19000000,1900.59000000,272665.84020000,1685491199999,519059196.24741600,422249,134288.16090000,255644547.73762700,0
1685491200000,1900.58000000,1907.13000000,1846.95000000,1873.63000000,319255.56810000,1685577599999,597360395.54403400,451133,149451.08700000,279624016.04226000,0
